"DATES","Assets","Debts","NET"
"September 2020","$1,207.99","$89,882.87","-$88,674.88"
"October 2020","$1,131.25","$92,293.75","-$91,162.50"
"November 2020","$6,098.99","$89,414.91","-$83,315.92"
"December 2020","$3,244.41","$87,362.96","-$84,118.55"
"January 2021","$316,801.49","$85,639.96","$231,161.53"
"February 2021","$315,524.18","$84,066.73","$231,457.45"
"March 2021","$316,011.64","$83,082.49","$232,929.15"
"April 2021","$316,346.57","$80,909.53","$235,437.04"
"May 2021","$316,050.51","$70,062.61","$245,987.90"
"June 2021","$313,855.14","$68,895.46","$244,959.68"
"July 2021","$317,418.97","$63,947.68","$253,471.29"
"August 2021","$329,981.45","$61,423.45","$268,558.00"
"September 2021","$319,384.38","$72,025.38","$247,359.00"
"October 2021","$320,558.73","$66,197.71","$254,361.02"
"November 2021","$319,426.16","$60,739.99","$258,686.17"
"December 2021","$322,096.48","$56,365.90","$265,730.58"
"January 2022","$443,166.13","$55,639.95","$387,526.18"
"February 2022","$443,679.14","$51,329.49","$392,349.65"
"March 2022","$444,281.99","$51,329.49","$392,952.50"
"April 2022","$452,246.59","$53,905.03","$398,341.56"
"May 2022","$456,196.73","$52,197.33","$403,999.40"
"June 2022","$455,347.38","$50,665.88","$404,681.50"
"July 2022","$458,625.72","$50,518.85","$408,106.87"
"August 2022","$458,130.47","$50,455.45","$407,675.02"
"September 2022","$459,274.07","$49,539.18","$409,734.89"
"October 2022","$463,190.97","$48,264.16","$414,926.81"
"November 2022","$460,922.33","$47,020.21","$413,902.12"
"December 2022","$464,873.43","$44,752.34","$420,121.09"
"January 2023","$524,237.95","$42,991.83","$481,246.12"
"February 2023","$518,957.78","$37,392.21","$481,565.57"
"March 2023","$518,791.19","$37,392.21","$481,398.98"
"April 2023","$519,172.34","$37,089.58","$482,082.76"
"May 2023","$517,841.13","$38,937.86","$478,903.27"
"June 2023","$523,705.59","$42,459.81","$481,245.78"
"July 2023","$524,479.81","$39,882.14","$484,597.67"
"August 2023","$522,896.18","$37,998.69","$484,897.49"
"September 2023","$521,673.77","$34,658.52","$487,015.25"
"October 2023","$522,104.19","$31,984.64","$490,119.55"
"November 2023","$521,836.64","$31,030.36","$490,806.28"
"December 2023","$522,797.52","$24,575.93","$498,221.59"
